"date","rconm_1","rconm_2","rconm_3","rconm_r","rcongm_1","rcongm_2","rcongm_3","rcongm_r","rcondm_1","rcondm_2","rcondm_3","rcondm_r","rconndm_1","rconndm_2","rconndm_3","rconndm_r","rconsm_1","rconsm_2","rconsm_3","rconsm_r","rconshhm_1","rconshhm_2","rconshhm_3","rconshhm_r","rconsnpm_1","rconsnpm_2","rconsnpm_3","rconsnpm_r","rconhhm_1","rconhhm_2","rconhhm_3","rconhhm_r","ncongm_1","ncongm_2","ncongm_3","ncongm_r","nconshhm_1","nconshhm_2","nconshhm_3","nconshhm_r","nconsnpm_1","nconsnpm_2","nconsnpm_3","nconsnpm_r","nconhhm_1","nconhhm_2","nconhhm_3","nconhhm_r","pcongm_1","pcongm_2","pcongm_3","pcongm_r","pconshhm_1","pconshhm_2","pconshhm_3","pconshhm_r","pconsnpm_1","pconsnpm_2","pconsnpm_3","pconsnpm_r","pconhhm_1","pconhhm_2","pconhhm_3","pconhhm_r","pcpi_1","pcpi_2","pcpi_3","pcpi_r","pcpix_1","pcpix_2","pcpix_3","pcpix_r","pppi_1","pppi_2","pppi_3","pppi_r","pppix_1","pppix_2","pppix_3","pppix_r","employ_level_1","employ_level_2","employ_level_3","employ_level_r","employ_pct_chg_1","employ_pct_chg_2","employ_pct_chg_3","employ_pct_chg_r","h_1","h_2","h_3","h_r","hg_1","hg_2","hg_3","hg_r","hs_1","hs_2","hs_3","hs_r","ipt_1","ipt_2","ipt_3","ipt_r","ipm_1","ipm_2","ipm_3","ipm_r","cut_1","cut_2","cut_3","cut_r","cum_1","cum_2","cum_3","cum_r","hstarts_1","hstarts_2","hstarts_3","hstarts_r"
"2009:11",2.6692,5.1405,4.5463,-1.915,9.9339,17.7492,16.482,0.5652,15.5432,31.0941,32.4137,17.0255,7.4665,12.1187,9.843,-6.1494,-0.6743,-0.4782,-0.7849,-3.0871,-0.7603,-0.5878,-1.0432,-3.8009,1.4665,2.275,5.8217,13.9437,2.702,5.219,4.5123,-2.3598,17.7148,26.2977,19.9407,5.6128,0.4092,0.6891,0.9904,-1.5042,1.4275,1.4196,-0.1343,8.4704,5.9043,8.6367,6.9752,0.8245,7.0774,7.2598,2.9632,5.0143,1.185,1.2907,2.0553,2.3832,-0.034,-0.8318,-5.6269,-4.7934,3.1174,3.2491,2.3569,3.2639,4.9039,NA,NA,4.0931,0.4036,NA,NA,0.9017,24.4129,NA,NA,17.0361,5.7504,NA,NA,4.28,-11,4,64,12,-0.1007,0.0366,0.5941,0.1108,7.5596,7.5596,8.9926,7.6479,7.865,12.8349,18.4525,11.4247,4.7097,4.7097,4.761,4.7516,10.1828,7.5123,7.528,5.4657,14.4109,11.6194,11.6444,12.6233,71.3,71.5,71.3,69.6,68.4,68.5,68.4,67.3,574,580,579,588
"2009:12",1.4895,1.4403,2.4839,6.727,-5.5234,-4.0939,-3.9125,6.1484,2.1453,6.8746,7.5781,7.8575,-8.844,-8.7762,-8.8042,5.3478,5.0904,4.239,5.7381,7.0128,5.1192,4.3675,5.7668,7.1394,4.3816,1.1078,5.0412,4.3295,1.4131,1.4493,2.416,6.8024,-4.555,-2.0636,-1.8686,5.5781,6.5571,5.9455,7.8006,8.3325,2.4465,1.0853,3.1459,3.2614,2.6822,3.187,4.4536,7.401,1.0291,2.1133,2.1249,-0.5398,1.3644,1.5138,1.9211,1.1189,-1.841,-0.0232,-1.7986,-1.0041,1.2452,1.7098,1.9964,0.557,1.6193,NA,NA,0.626,1.3524,NA,NA,1.1755,2.0483,NA,NA,3.4509,0,NA,NA,0,-85,-150,-109,-269,-0.7759,-1.3791,-1.0039,-2.4536,0,0,0,0,-5.8448,-4.4908,-7.3812,-7.4268,1.1544,0,0,-1.1522,7.4656,7.4811,6.1996,2.6874,0,0,-2.4071,-2.5973,72,71.9,71.8,69.9,68.6,68.4,68.4,67.2,557,575,573,581
"2010:01",4.0716,2.5515,1.5611,-2.0183,10.0199,3.2763,3.6739,-4.2418,9.1311,-8.0362,-3.9219,-15.4934,10.43,8.9081,7.3636,1.3,1.2945,2.2019,0.5551,-0.9197,1.3359,2.1804,0.3798,-0.8045,0.2733,2.7355,4.9626,-3.4002,4.1752,2.5466,1.4707,-1.9759,15.6319,8.5692,8.9281,-1.544,1.9616,2.5819,1.0754,1.3603,3.7985,6.3136,6.116,-0.4252,6.3651,4.5516,3.6443,0.3782,5.1052,5.129,5.0573,2.8181,0.615,0.3915,0.6888,2.1956,3.5275,3.4773,1.0764,3.0962,2.1051,1.9489,2.1368,2.4118,2.0238,NA,NA,0.7813,-1.6239,NA,NA,-1.339,18.2964,NA,NA,12.9019,4.2648,NA,NA,2.825,-20,-26,14,3,-0.1851,-0.2405,0.1297,0.0277,3.7398,3.7398,3.7398,2.4767,9.6058,9.6315,14.7595,4.7453,4.7422,0,4.7422,4.7375,12.6691,11.351,11.3153,15.5829,11.5326,11.5449,11.5326,13.9974,72.6,72.5,72.7,70.9,69.2,69.1,69.1,68.1,591,611,609,614
"2010:02",4.1474,6.6335,6.3232,3.705,6.4501,10.2528,12.4659,4.8268,-2.5198,12.9053,15.3442,3.2011,10.7352,9.0752,11.1861,5.5345,3.0467,4.917,3.4545,3.1826,2.5755,4.5841,3.1617,3.2821,15.341,13.431,10.9116,1.0406,3.8606,6.4556,6.202,3.7881,4.2106,7.9409,10.0965,1.5555,3.8962,6.1416,4.5985,4.6601,8.0546,7.3448,5.4877,0.1584,4.0017,6.7433,6.4176,3.6118,-2.1056,-2.0945,-2.1168,-3.132,1.2852,1.488,1.3919,1.3327,-6.3113,-5.3877,-4.8873,-0.858,0.1409,0.2712,0.206,-0.1762,0.0221,NA,NA,-1.1362,0.6332,NA,NA,0.5343,-6.4737,NA,NA,-7.7588,0.6971,NA,NA,0.6979,-36,-14,39,-92,-0.3329,-0.1296,0.3617,-0.8472,-7.0905,-5.9417,-2.4168,-8.2264,-20.6436,-20.5731,-19.3329,-14.3792,1.1667,-3.4136,-2.2878,-3.4104,1.1958,3.6159,-2.3414,3.9973,-2.3903,2.4414,0,0,72.7,73,72.8,71.3,69,69.4,69.2,68.2,575,616,605,604
"2010:03",5.8508,5.7992,5.3372,5.6559,17.4441,17.7778,16.7823,19.6596,50.1736,53.0721,52.6107,75.5686,4.8485,4.3287,3.1869,0.3883,0.5958,0.3689,0.1275,-0.4924,0.1128,-0.0202,-0.1204,-0.7947,13.2116,10.4009,6.4599,6.3843,5.6589,5.6777,5.3075,5.6338,17.3653,17.6995,16.7068,18.9476,2.1559,2.1421,2.2112,1.9353,5.0074,7.0052,4.6118,3.1322,7.0586,7.1615,6.9047,7.3522,-0.0683,-0.0683,-0.0683,-0.5903,2.0434,2.162,2.3334,2.7561,-7.2501,-3.085,-1.7404,-3.0407,1.3294,1.4063,1.5157,1.6374,0.7637,NA,NA,0.3984,0.4634,NA,NA,0.2831,8.3577,NA,NA,8.4114,0.6967,NA,NA,2.1058,162,230,208,180,1.5105,2.1499,1.9424,1.678,8.9448,6.2972,6.2972,10.3029,27.8302,27.7901,27.7901,16.794,5.9536,5.9477,5.9477,1.1645,1.1887,3.6159,3.6123,8.113,11.3988,12.7633,15.5053,15.3122,73.2,73.1,73.1,71.9,70,70,70.1,69.1,626,635,634,636
"2010:04",0.2883,-0.0606,-1.1805,2.3677,-0.6143,-1.597,-3.6969,3.5388,1.4603,-6.3505,-10.6464,-2.1972,-1.5779,0.7191,-0.2874,6.3232,0.7357,0.7052,0.11,1.8197,0.4786,0.5523,-0.1418,1.5296,7.2298,4.5526,6.6472,8.412,0.107,-0.1815,-1.3781,2.1908,-4.551,-5.4808,-7.478,1.416,2.8776,2.9109,1.7861,3.5622,6.7596,6.9159,6.5964,4.0269,0.2967,-0.014,-1.466,2.8345,-3.9589,-3.9369,-3.9124,-2.047,2.3838,2.3504,1.9356,2.0047,-0.4323,2.2603,-0.0479,-4.0377,0.1841,0.1624,-0.097,0.6309,-0.8236,NA,NA,0.2764,0.567,NA,NA,0.2122,-1.3252,NA,NA,0,2.8118,NA,NA,0,290,290,313,237,2.7127,2.7132,2.9312,2.2116,6.2643,4.9834,6.2643,4.9938,19.8033,18.0252,18.0252,23.8645,2.33,1.1588,2.33,5.9418,9.8791,8.5883,2.6695,5.3085,12.6292,11.2917,9.9272,9.3947,73.7,73.7,73.1,72.3,70.8,70.8,70.9,69.8,672,659,679,687
"2010:05",3.2905,1.9049,2.6497,1.9109,2.882,-1.4486,-0.8804,-3.7986,13.6328,-0.1511,-0.974,-1.6319,-1.8441,-2.0564,-0.8485,-4.7877,3.491,3.6059,4.4423,4.7934,3.4377,3.7817,4.6714,4.9683,4.8088,-0.7149,-1.1502,1.0474,3.25,1.9746,2.7518,1.936,-4.0005,-8.0357,-7.5535,-7.0545,6.3445,5.716,6.2909,7.1942,7.3501,7.2683,8.4215,1.4375,2.737,0.8506,1.3926,2.1901,-6.6892,-6.677,-6.7305,-3.3797,2.808,1.858,1.55,2.1293,2.4233,8.0445,9.684,0.3916,-0.4963,-1.1046,-1.3286,0.2392,-1.9404,NA,NA,-0.6219,1.472,NA,NA,0.7635,-3.2865,NA,NA,0,2.8052,NA,NA,3.5259,431,433,432,534,4.0474,4.0658,4.0562,5.0369,4.9628,0,3.6976,1.2226,-1.486,-1.486,0,-2.9886,1.1577,0,3.5067,0,15.0209,18.5121,16.9638,18.1258,11.1865,12.8178,12.8178,17.9387,74.7,74.1,74.1,73.5,71.5,71.7,71.7,70.9,593,578,588,583
"2010:06",1.3963,1.2404,1.1389,3.1329,2.03,0.9843,0.1879,5.719,4.5215,-1.5023,-1.9845,7.1134,0.8785,2.1612,1.2135,5.0766,1.0947,1.3713,1.6111,1.9194,0.8253,0.9643,1.1955,1.9481,8.078,12.1119,12.608,1.3066,1.2249,0.9668,0.8515,3.1893,-2.9458,-3.9912,-4.7165,1.8018,0.8441,1.1067,1.5894,3.0611,3.8851,6.3662,7.1942,-3.5512,-0.4471,-0.6373,-0.5745,2.6389,-4.8816,-4.9256,-4.8927,-3.6954,0.0209,0.136,0.3876,1.0956,-3.8807,-5.1269,-4.8161,-4.7764,-1.6489,-1.5856,-1.4155,-0.5268,-1.6175,NA,NA,-0.5014,1.9223,NA,NA,1.2672,-5.8599,NA,NA,-3.9512,0.693,NA,NA,1.3929,-125,-221,-175,-136,-1.1426,-2.0119,-1.5962,-1.2419,1.2189,-3.5657,-2.3903,-2.4023,-8.6275,-8.6172,-8.6172,-2.996,1.1566,-2.2705,-2.2705,1.1577,0,0,1.3065,1.28,-5.2049,-5.2049,-3.9232,-1.2532,74.1,74.1,74.1,73.8,71.4,71.4,71.6,70.9,549,537,539,536
"2010:07",2.338,2.1607,3.0331,2.9363,1.8071,2.2574,3.6404,1.1051,15.5215,16.5557,17.3873,9.6426,-4.0389,-3.8208,-2.2151,-2.6419,2.5975,2.1137,2.7319,3.821,2.8226,2.3587,2.9856,4.6194,-2.8663,-3.8201,-3.3945,-12.4162,2.4802,2.3247,3.2098,3.4358,6.6306,7.04,8.5218,2.1599,4.5447,3.7952,4.1369,5.3785,6.5856,7.1658,7.2955,-5.414,5.2411,4.8733,5.5891,4.2946,4.7359,4.6756,4.7116,1.0462,1.6752,1.3994,1.1139,0.7159,9.7285,11.4277,11.0598,7.9905,2.6911,2.4918,2.3041,0.8333,3.7584,NA,NA,2.2663,1.5723,NA,NA,0.9207,2.0367,NA,NA,1.3544,4.2223,NA,NA,0.6934,-131,-54,-66,-88,-1.1991,-0.4957,-0.6056,-0.806,4.9577,1.2176,1.2176,4.9783,4.6175,4.6175,4.6175,-1.5123,3.5033,4.6958,4.6958,5.9068,12.3212,8.0676,8.0585,5.2049,14.2463,9.7658,8.3,6.4948,74.8,74.6,74.7,74.2,72.2,72.1,72.2,71.4,546,541,550,546
"2010:08",2.0023,3.8435,4.0754,3.5745,5.6817,6.6077,7.884,5.9703,-1.9246,0.1712,0.0461,6.429,9.4277,9.7581,11.7478,5.7665,0.2532,2.5147,2.2587,2.4417,-0.3593,2.2372,2.0151,2.6622,16.7555,9.6787,8.5288,-2.3618,1.6355,3.6926,3.9595,3.7562,11.1459,12.1481,13.4607,8.4153,1.6689,3.2648,3.0194,4.1867,10.4534,9.5624,9.7187,-5.1875,4.7665,6.176,6.4262,5.578,5.1724,5.1962,5.1726,2.3077,2.0449,1.0074,0.9863,1.4864,-5.401,-0.1063,1.092,-2.8849,3.0727,2.3988,2.3658,1.7485,3.0927,NA,NA,1.7678,0.559,NA,NA,0.7943,4.8032,NA,NA,6.9337,0.6902,NA,NA,1.3905,-54,-57,-1,-5,-0.4959,-0.5235,-0.0092,-0.046,3.69,3.69,4.9475,4.9577,6.1757,6.1757,6.1757,7.896,1.1511,1.1511,1.1511,1.1511,1.2966,2.6057,2.6029,3.8643,1.3341,1.3326,0,1.2625,74.7,74.8,74.9,74.6,72.2,72.3,72.2,71.6,598,608,614,599
